Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,month_year,Dominant
0.07215007215007214,0.2049062049062049,0.09090909090909091,0.08080808080808081,0.08225108225108226,0.06493506493506493,0.16594516594516595,0.08080808080808081,0.06493506493506493,0.09235209235209235,2018-01,Topic 2
0.05767599660729432,0.1272264631043257,0.07463952502120441,0.13401187446988974,0.04919423240033927,0.09838846480067855,0.07463952502120441,0.2154368108566582,0.08821034775233248,0.08057675996607294,2018-01,Topic 8
0.08518518518518518,0.20123456790123456,0.1259259259259259,0.07530864197530865,0.08024691358024691,0.08765432098765433,0.07777777777777778,0.10864197530864197,0.09876543209876543,0.05925925925925926,2018-01,Topic 2
0.10344827586206896,0.10344827586206896,0.1053639846743295,0.08620689655172414,0.09770114942528736,0.1111111111111111,0.1053639846743295,0.11494252873563218,0.08620689655172414,0.08620689655172414,2018-03,Topic 8
0.1111111111111111,0.08680555555555555,0.11631944444444445,0.09722222222222222,0.078125,0.078125,0.1267361111111111,0.12152777777777778,0.09375,0.09027777777777778,2018-05,Topic 7
0.04926624737945493,0.2547169811320755,0.07232704402515724,0.06918238993710693,0.11844863731656186,0.07232704402515724,0.06813417190775682,0.07966457023060798,0.11844863731656186,0.09748427672955977,2018-01,Topic 2
0.07355242566510173,0.07355242566510173,0.07042253521126761,0.09702660406885759,0.1298904538341158,0.09546165884194054,0.10641627543035993,0.13145539906103287,0.07042253521126761,0.15179968701095461,2018-01,Topic 10
0.1956521739130435,0.14412238325281804,0.09863123993558776,0.029790660225442835,0.05475040257648953,0.029790660225442835,0.10305958132045089,0.16666666666666666,0.11473429951690821,0.06280193236714976,2018-01,Topic 1
0.09803921568627451,0.09803921568627451,0.09803921568627451,0.09803921568627451,0.11546840958605664,0.09803921568627451,0.10021786492374728,0.09803921568627451,0.09803921568627451,0.09803921568627451,2018-01,Topic 5
0.06756756756756757,0.13363363363363365,0.08108108108108109,0.07207207207207207,0.10960960960960961,0.13813813813813813,0.07957957957957958,0.13663663663663664,0.09009009009009009,0.0915915915915916,2018-01,Topic 6
0.21560846560846567,0.0925925925925926,0.09523809523809526,0.11640211640211642,0.07010582010582012,0.07142857142857144,0.059523809523809534,0.09656084656084658,0.11111111111111113,0.07142857142857144,2018-01,Topic 1
0.05808080808080808,0.1414141414141414,0.06565656565656566,0.059343434343434344,0.11237373737373738,0.09343434343434344,0.10606060606060606,0.08333333333333333,0.14772727272727273,0.13257575757575757,2018-01,Topic 9
0.07575757575757577,0.1767676767676768,0.07575757575757577,0.0824915824915825,0.07575757575757577,0.13636363636363638,0.13131313131313135,0.08080808080808083,0.08922558922558924,0.07575757575757577,2018-01,Topic 2
0.09178743961352658,0.07407407407407407,0.10144927536231885,0.10144927536231885,0.10628019323671498,0.10628019323671498,0.10628019323671498,0.09178743961352658,0.12077294685990338,0.0998389694041868,2018-01,Topic 9
0.07516339869281045,0.1830065359477124,0.08823529411764706,0.07352941176470588,0.07679738562091504,0.07679738562091504,0.16666666666666666,0.08660130718954248,0.08823529411764706,0.08496732026143791,2018-01,Topic 2
0.09259259259259259,0.10493827160493827,0.12551440329218108,0.09670781893004116,0.09259259259259259,0.09259259259259259,0.09259259259259259,0.09876543209876543,0.1111111111111111,0.09259259259259259,2018-01,Topic 3
0.05228758169934639,0.10737628384687205,0.04481792717086834,0.12138188608776841,0.0672268907563025,0.10364145658263303,0.05508870214752566,0.29691876750700275,0.08403361344537814,0.0672268907563025,2018-01,Topic 8
0.06405228758169934,0.09411764705882353,0.0784313725490196,0.06274509803921569,0.10065359477124183,0.07058823529411765,0.10065359477124183,0.2980392156862745,0.0718954248366013,0.058823529411764705,2018-01,Topic 8
0.08669108669108669,0.12576312576312576,0.115995115995116,0.06227106227106227,0.07936507936507936,0.2026862026862027,0.11843711843711843,0.0695970695970696,0.06715506715506715,0.07203907203907203,2018-01,Topic 6
0.05,0.17222222222222222,0.14444444444444443,0.06,0.06111111111111111,0.09111111111111111,0.11444444444444445,0.16777777777777778,0.07333333333333333,0.06555555555555556,2018-01,Topic 2
0.06666666666666667,0.12148148148148148,0.1274074074074074,0.07407407407407407,0.13185185185185186,0.10814814814814815,0.11555555555555555,0.08296296296296296,0.08888888888888889,0.08296296296296296,2018-01,Topic 5
0.08045977011494253,0.10217113665389528,0.08812260536398467,0.21583652618135377,0.06513409961685823,0.05874840357598978,0.08556832694763729,0.13154533844189017,0.09195402298850575,0.08045977011494253,2018-01,Topic 4
0.04547404547404548,0.15529815529815533,0.12998712998713002,0.0767910767910768,0.04290004290004291,0.040326040326040334,0.15272415272415274,0.24882024882024886,0.07722007722007723,0.030459030459030464,2018-01,Topic 8
0.0644718792866941,0.07818930041152264,0.1646090534979424,0.06310013717421124,0.06995884773662552,0.26474622770919065,0.06584362139917696,0.0877914951989026,0.07133058984910837,0.06995884773662552,2018-01,Topic 6
