compound,neg,neu,pos
0.22614124759549264,0.06354355592195671,0.7976108821104703,0.13884885957680693
0.21763851229754044,0.061124475104979044,0.8079523095380922,0.1309169166166767
0.18424553600000024,0.06620895999999998,0.8014736000000005,0.13232256000000014
0.2115891338093758,0.061684880471903,0.806701334989134,0.13161347407637328
0.23478119953863952,0.05835265282583632,0.8041551326412919,0.13690888119953873
0.2334486917844066,0.05962715855573,0.8042446363160651,0.136130821559393
0.24147746444335424,0.06262579695929363,0.7994293771456565,0.13795046591466417
0.25372658852560104,0.057287888134896194,0.8068235657001851,0.13589183631503177
0.24939397065566288,0.058229252636405306,0.8050298028427344,0.13673933975240735
0.2236502165488938,0.06309209026669708,0.8077508547982685,0.12914793708684755
0.24461056973446785,0.05862490332559948,0.8056901263212161,0.1356733694251094
0.2428294810786301,0.060061182868796664,0.8004658962157244,0.13948538409245417
0.23817021906453498,0.06197947503453703,0.8033349121768296,0.13467771857114655
0.23108508641975292,0.060089135802469,0.802792592592592,0.13687506172839534
0.019920000000000004,0.0312,0.925,0.043800000000000006
