Topic 1,Topic 10,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Dominant
0.1448200054960154,0.07034899697719153,0.12640835394339103,0.12943116240725475,0.08244023083264633,0.09123385545479527,0.08848584776037373,0.09040945314646881,0.08491343775762572,0.09150865622423743,Topic 1
0.17006598680263948,0.0608878224355129,0.08818236352729454,0.1274745050989802,0.07858428314337132,0.08038392321535692,0.11367726454709058,0.09208158368326334,0.10197960407918416,0.08668266346730653,Topic 1
0.19616,0.06176,0.09696,0.12128,0.0784,0.088,0.09728,0.08224,0.09504,0.08288,Topic 1
0.2008692952499224,0.07140639552933871,0.08165166097485253,0.11456069543619994,0.08630859981372245,0.09810617820552624,0.08599813722446445,0.1055572803477181,0.07947842285004657,0.07606333436820863,Topic 1
0.14878892733564014,0.05968858131487889,0.0989042675893887,0.14850057670126873,0.06314878892733564,0.08708189158016148,0.1185121107266436,0.09717416378316032,0.10322952710495963,0.07497116493656286,Topic 1
0.16221873364730507,0.06541077969649398,0.08895866038723181,0.13448456305599163,0.07901622187336473,0.08974358974358974,0.10413396127681843,0.09706959706959707,0.08974358974358974,0.0892203035060178,Topic 1
0.13437959784207945,0.07454634624816087,0.11745953898970084,0.13021088769004413,0.07479156449239824,0.08852378616969102,0.09293771456596371,0.09710642471799902,0.09146640510053948,0.09857773418342325,Topic 1
0.20892453218178078,0.06539173349784085,0.08883405305367058,0.13098910137775036,0.07690725889368702,0.07238330248817602,0.09356364384125025,0.1022002878881349,0.08924532181780793,0.0715607649599013,Topic 1
0.17514901421366347,0.07152682255845942,0.11485557083906466,0.14236588720770288,0.08298945437872536,0.07015130674002751,0.09147180192572214,0.10178817056396149,0.07221458046767538,0.07748739110499771,Topic 1
0.16047412810576703,0.06268520629131524,0.10827444723045361,0.11351720993845453,0.07271483929792569,0.08046501025757921,0.11055390927741053,0.10439936175062685,0.09710508320036472,0.08981080465010258,Topic 1
0.18896622840938387,0.06728538283062645,0.10492394947151328,0.137148749677752,0.0791441093065223,0.07373034287187419,0.09538540861046661,0.09641660221706626,0.0894560453725187,0.06754318123227636,Topic 1
0.1588488556537503,0.07409925220938138,0.11828687967369136,0.12689780194878766,0.0818037616134149,0.08044414230682076,0.08860185814638567,0.11035576705189214,0.08271017448447768,0.07795150691139814,Topic 1
0.16044997039668443,0.056838365896980464,0.10676929149398066,0.12512334714821394,0.06907440299980265,0.0793368857312019,0.09354647720544701,0.12393921452536018,0.10617722518255378,0.07874481941977501,Topic 1
0.14962962962962964,0.07802469135802469,0.10296296296296296,0.12691358024691357,0.07950617283950617,0.08567901234567901,0.10296296296296296,0.09975308641975308,0.08493827160493828,0.08962962962962963,Topic 1
,0.2,,,0.4,0.4,,,,,Topic 4
