compound,neg,neu,pos
0.3008363839999981,0.04839189333333321,0.8134332799999976,0.1378540800000001
0.11314116546377984,0.0657016840417,0.8444554931836402,0.08984522854851659
0.1554944607927989,0.06962368011078411,0.8214336160637004,0.1089442617275399
0.43959973611110953,0.05586138888888897,0.6787097222222225,0.2654312499999994
0.18690914577530207,0.07208658310120715,0.8182161095636041,0.10968732590529236
0.3062288043478251,0.05737108695652168,0.7805563043478261,0.16207673913043463
0.2414081120673866,0.04264695110785571,0.8538950741622415,0.10345614356344997
0.13147861076567752,0.05591472730502741,0.8603025404157044,0.08378415349085123
0.14988935579781898,0.06693974231912789,0.8292951437066384,0.10375797819623386
0.1371401354599082,0.09219379506226776,0.7783773213895545,0.1294297574830677
