Topic 1,Topic 10,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Dominant
0.1050328227571116,0.10667396061269147,0.08041575492341356,0.10010940919037199,0.05798687089715536,0.11652078774617068,0.10229759299781181,0.07986870897155361,0.1301969365426696,0.12089715536105033,Topic 8
0.12147406733393995,0.09281164695177434,0.09235668789808917,0.08780709736123748,0.08098271155595996,0.12010919017288443,0.09099181073703366,0.11101000909918107,0.11419472247497725,0.08826205641492266,Topic 1
0.1072340425531915,0.09319148936170213,0.09957446808510638,0.08297872340425531,0.0774468085106383,0.1570212765957447,0.09106382978723404,0.08382978723404255,0.12936170212765957,0.07829787234042553,Topic 5
0.11136783733826247,0.08456561922365989,0.11321626617375231,0.09242144177449169,0.07717190388170056,0.1534195933456562,0.07948243992606285,0.07393715341959335,0.11275415896487985,0.10166358595194085,Topic 5
0.11719383617193836,0.10097323600973236,0.09002433090024331,0.09529602595296026,0.09124087591240876,0.1273317112733171,0.08029197080291971,0.09367396593673966,0.0827250608272506,0.12124898621248986,Topic 5
0.12241832519714607,0.10739767179872324,0.09988734509951183,0.08374014269620729,0.07209913631242959,0.13894104393541118,0.07885843034171987,0.08974840405557642,0.10552009012392038,0.10138941043935411,Topic 5
0.12342158859470469,0.11608961303462322,0.07657841140529531,0.10672097759674135,0.09327902240325865,0.129938900203666,0.07454175152749491,0.08105906313645621,0.10142566191446029,0.09694501018329939,Topic 5
0.11528046421663443,0.09903288201160541,0.09825918762088975,0.10058027079303675,0.10019342359767891,0.12727272727272726,0.0769825918762089,0.08665377176015474,0.10290135396518375,0.09284332688588008,Topic 5
0.12982625482625482,0.0945945945945946,0.0888030888030888,0.09604247104247104,0.10521235521235521,0.12548262548262548,0.08542471042471042,0.10038610038610038,0.0916988416988417,0.08252895752895753,Topic 1
0.13023641642472003,0.10866860223973455,0.10949813355454169,0.09498133554541684,0.08958938199917046,0.09871422646204894,0.08875985068436333,0.07465781833264205,0.09581086686022397,0.10908336789713811,Topic 1
0.1395007342143906,0.11270190895741557,0.09801762114537445,0.09287812041116006,0.06681350954478708,0.1013215859030837,0.06828193832599119,0.1288546255506608,0.09140969162995595,0.10022026431718062,Topic 1
0.11655530809205643,0.09799554565701558,0.09948032665181886,0.08129175946547884,0.09168522642910171,0.1321455085374907,0.08908685968819599,0.08314773570898293,0.10133630289532294,0.107275426874536,Topic 5
0.06837606837606838,0.08547008547008547,0.1282051282051282,0.1452991452991453,0.06837606837606838,0.05982905982905983,0.1111111111111111,0.10256410256410256,0.09401709401709402,0.13675213675213677,Topic 3
0.05405405405405406,0.13513513513513514,0.05405405405405406,0.1891891891891892,0.13513513513513514,0.08108108108108109,0.24324324324324326,0.02702702702702703,0.02702702702702703,0.05405405405405406,Topic 6
0.5,,,0.25,0.25,,,,,,Topic 1
0.1111111111111111,,,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.1111111111111111,,,0.1111111111111111,Topic 5
